Artist,Song,Days in top10,Peak,Days on peak,Days,PkStreams,Total
Eladio Carrion,Hey Lil Mama,,160,1,1,"1,338,252","1,338,252"
Bing Crosby,Silver Bells,,194,1,1,"1,337,971","1,337,971"
Natanael Cano,AFS,,168,1,1,"1,337,537","1,337,537"
KAROL G,Amiga Mía,,145,1,1,"1,337,113","1,337,113"
Pop Smoke,Beat The Speaker,,80,1,1,"1,336,570","1,336,570"
Gracie Abrams,"I Love You, I'm Sorry - Live From Vevo",,197,1,1,"1,336,200","1,336,200"
David Bowie,Girl Loves Me,,63,1,3,"627,459","1,336,141"
Salmo,LUNEDI',,182,1,2,"737,842","1,335,174"
Travis Scott,FLORIDA FLOW,,137,1,1,"1,335,038","1,335,038"
Trueno,CRUZ,,174,1,1,"1,333,104","1,333,104"
Rose Villain,fuorilegge,,171,1,1,"1,331,758","1,331,758"
Cardi B,Outside,,147,1,1,"1,331,072","1,331,072"
Daryl Hall & John Oates,You Make My Dreams,,138,1,2,"781,618","1,330,630"
Gunna,just say dat,,151,1,1,"1,330,552","1,330,552"
RAF Camora,Puta Madre,,161,1,2,"742,715","1,330,252"
DJ Ws da Igrejinha,Não Vou Namorar,,200,1,1,"1,330,186","1,330,186"
Fred again..,adore u,,138,1,1,"1,329,559","1,329,559"
The 1975,Medicine,,129,1,9,"179,544","1,328,710"
Lil Uzi Vert,Mr Chow,,185,1,1,"1,328,374","1,328,374"
Chris Brown,This Christmas,,97,1,3,"521,805","1,327,928"
Alejandro Fernández,Sé Que Te Duele,,194,1,3,"455,559","1,327,720"
Matuê,4Tal,,181,1,1,"1,327,608","1,327,608"
YG,SWAG,,180,1,2,"702,741","1,326,992"
Sfera Ebbasta,$€ Freestyle,,76,1,1,"1,326,336","1,326,336"
PARTYNEXTDOOR,Dreamin,,193,1,1,"1,326,324","1,326,324"
DJ Khaled,NO SECRET,,90,1,1,"1,325,184","1,325,184"
Linkin Park,Let You Fade,,189,1,1,"1,323,658","1,323,658"
Don Toliver,FWU,,162,1,1,"1,322,343","1,322,343"
Mc Ws da leste,Tipo Hollywood,,179,1,1,"1,322,028","1,322,028"
Tate McRae,Means I care,,182,1,1,"1,320,166","1,320,166"
5 Seconds of Summer,Lie To Me,,126,1,2,"718,161","1,319,923"
Stray Kids,0801,,149,1,1,"1,319,173","1,319,173"
Jin,Background,,190,1,1,"1,318,894","1,318,894"
Don Toliver,CANT STOP,,143,1,1,"1,318,551","1,318,551"
