Artist,Song,Days in top10,Peak,Days on peak,Days,PkStreams,Total
The Weeknd,Blinding Lights,446.0,1,82,2169,"8,453,567","5,037,607,641"
Ed Sheeran,Shape of You,237.0,1,98,2689,"9,878,194","4,038,423,854"
Harry Styles,As It Was,426.0,1,81,1272,"16,103,849","3,999,274,385"
Lewis Capaldi,Someone You Loved,107.0,4,1,2371,"3,974,554","3,880,912,658"
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,213.0,1,16,2263,"5,033,261","3,554,729,660"
The Neighbourhood,Sweater Weather,,12,1,1988,"3,342,205","3,532,412,627"
The Weeknd,Starboy,145.0,1,40,1963,"5,125,218","3,385,509,594"
Ed Sheeran,Perfect,102.0,3,1,2944,"3,690,839","3,372,839,991"
Billie Eilish,lovely,,19,1,2693,"2,085,328","3,361,281,502"
Imagine Dragons,Believer,,15,1,2945,"2,572,100","3,304,313,339"
The Kid LAROI,Stay,299.0,1,84,1232,"10,629,302","3,271,261,658"
Billie Eilish,BIRDS OF A FEATHER,477.0,1,25,542,"10,082,989","3,155,270,260"
Lady Gaga,Die With A Smile,406.0,1,201,451,"11,621,474","3,086,803,666"
Glass Animals,Heat Waves,258.0,1,65,1358,"5,003,951","3,000,920,519"
Drake,One Dance,187.0,1,101,2003,"7,196,287","2,888,284,842"
Arctic Monkeys,I Wanna Be Yours,,11,1,1222,"3,186,952","2,873,518,061"
Tom Odell,Another Love,,11,1,1668,"3,052,832","2,856,685,034"
Coldplay,Yellow,,15,1,1777,"3,078,369","2,656,120,736"
Taylor Swift,Cruel Summer,257.0,2,18,976,"5,405,688","2,654,773,625"
Harry Styles,Watermelon Sugar,127.0,4,1,1562,"4,321,515","2,596,179,813"
Sabrina Carpenter,Espresso,224.0,1,32,577,"11,692,253","2,594,356,908"
James Arthur,Say You Won't Let Go,97.0,6,1,2483,"2,817,950","2,591,662,993"
Benson Boone,Beautiful Things,218.0,1,35,661,"9,256,894","2,554,181,027"
Tones And I,Dance Monkey,286.0,1,120,1048,"8,928,593","2,508,984,101"
Vance Joy,Riptide,,16,1,2456,"2,526,786","2,465,077,925"
Miley Cyrus,Flowers,179.0,1,82,806,"18,424,325","2,460,610,582"
The Chainsmokers,Something Just Like This,86.0,2,14,1977,"4,937,390","2,425,215,152"
Jung Kook,Seven,153.0,1,71,849,"17,902,017","2,418,823,092"
The Weeknd,Die For You,2.0,9,1,1408,"3,554,197","2,418,344,029"
SZA,Kill Bill,174.0,1,20,848,"8,455,200","2,414,898,521"
Lord Huron,The Night We Met,,15,1,1196,"3,221,586","2,226,242,952"
OneRepublic,Counting Stars,,31,1,2371,"1,717,699","2,201,686,041"
The Weeknd,One Of The Girls,80.0,2,2,764,"5,073,947","2,139,416,702"
The Chainsmokers,Closer,191.0,1,82,1696,"6,875,523","2,123,412,841"
Dua Lipa,Don't Start Now,235.0,2,7,1152,"6,100,930","2,095,889,464"
Teddy Swims,Lose Control,57.0,5,1,725,"5,154,184","2,074,907,379"
Hozier,Take Me To Church,139.0,1,30,2150,"2,140,282","2,066,325,400"
Post Malone,rockstar,185.0,1,114,1208,"7,156,650","2,052,310,834"
ROSÉ,APT.,251.0,1,28,388,"14,596,132","2,048,147,692"
Shawn Mendes,Señorita,170.0,1,102,1021,"9,936,178","2,046,655,077"
Jimin,Who,188.0,1,20,479,"10,674,703","2,042,607,289"
Arctic Monkeys,505,,40,1,1407,"1,987,531","2,027,435,345"
Elton John,Cold Heart - PNAU Remix,199.0,2,1,1007,"5,699,348","1,969,714,892"
Tate McRae,greedy,206.0,1,34,742,"6,282,050","1,965,178,147"
The Police,Every Breath You Take,,21,1,1487,"2,511,962","1,958,048,139"
Manuel Turizo,La Bachata,173.0,3,3,853,"4,806,467","1,936,624,976"
Travis Scott,goosebumps,1.0,10,1,1954,"3,297,928","1,919,311,891"
Juice WRLD,Lucid Dreams,110.0,2,6,1426,"5,544,528","1,896,783,804"
"Tyler, The Creator",See You Again,,13,1,981,"3,276,823","1,889,754,642"
Coldplay,Viva La Vida,,27,1,1199,"2,811,786","1,889,039,224"
Post Malone,Circles,131.0,1,3,1187,"7,292,777","1,887,977,040"
Billie Eilish,bad guy,169.0,1,41,949,"7,220,348","1,887,770,085"
Eminem,Without Me,,29,1,1515,"2,404,685","1,881,931,060"
David Guetta,I'm Good (Blue),144.0,1,1,809,"6,863,607","1,870,197,518"
Mariah Carey,All I Want for Christmas Is You,238.0,1,79,571,"24,863,570","1,847,268,622"
Chappell Roan,"Good Luck, Babe!",133.0,5,1,580,"6,303,841","1,823,523,235"
FloyyMenor,Gata Only,148.0,2,1,628,"8,628,580","1,806,593,089"
The Weeknd,Save Your Tears,89.0,2,28,1199,"5,000,774","1,776,397,493"
Bruno Mars,Locked out of Heaven,,21,1,1418,"2,951,846","1,772,085,141"
Hozier,Too Sweet,91.0,2,10,584,"8,742,996","1,723,228,970"
Ed Sheeran,Photograph,,13,1,2200,"1,769,541","1,717,483,090"
Lady Gaga,Shallow,79.0,2,6,1266,"5,451,577","1,716,595,020"
Djo,End of Beginning,64.0,1,3,632,"8,481,534","1,699,115,621"
The Walters,I Love You So,,18,1,1208,"2,139,814","1,698,013,515"
Kendrick Lamar,Not Like Us,116.0,1,10,525,"12,809,644","1,679,535,380"
Cigarettes After Sex,Apocalypse,,49,1,1187,"1,982,056","1,671,516,654"
Ariana Grande,we can't be friends (wait for your love),50.0,1,13,612,"9,432,687","1,667,425,631"
OneRepublic,I Ain't Worried,53.0,7,1,797,"3,861,127","1,664,385,796"
Ruth B.,Dandelions,,32,1,1192,"1,772,730","1,632,768,311"
Lil Nas X,INDUSTRY BABY,275.0,2,61,564,"8,808,346","1,629,821,771"
Kendrick Lamar,All The Stars,74.0,2,14,885,"7,399,673","1,627,556,948"
Olivia Rodrigo,good 4 u,121.0,1,47,549,"12,586,645","1,622,311,439"
Adele,Easy On Me,152.0,1,47,801,"19,749,704","1,607,515,051"
Bad Bunny,Me Porto Bonito,176.0,2,5,576,"8,738,392","1,606,842,723"
Billie Eilish,WILDFLOWER,35.0,8,1,542,"6,821,322","1,602,642,702"
Olivia Rodrigo,drivers license,112.0,1,67,692,"13,714,177","1,595,963,086"
Dua Lipa,Levitating,80.0,4,1,812,"4,626,710","1,581,427,006"
Sabrina Carpenter,Please Please Please,129.0,1,19,467,"12,835,312","1,580,891,558"
Bruno Mars,That's What I Like,57.0,5,1,1122,"3,482,628","1,544,349,547"
SZA,Snooze,,25,1,878,"3,100,334","1,531,154,673"
Wham!,Last Christmas,183.0,2,57,511,"24,556,791","1,529,407,409"
One Direction,Night Changes,7.0,6,1,1227,"5,150,464","1,528,198,698"
Ariana Grande,7 rings,112.0,1,68,1000,"10,445,538","1,527,094,696"
XXXTENTACION,SAD!,77.0,1,10,1139,"10,415,088","1,501,007,363"
The Goo Goo Dolls,Iris,4.0,9,1,787,"3,333,439","1,498,839,378"
Taylor Swift,Anti-Hero,85.0,1,20,548,"17,390,253","1,495,696,849"
Bruno Mars,When I Was Your Man,,28,1,1351,"2,663,783","1,492,444,766"
Queen,Bohemian Rhapsody - Remastered 2011,3.0,10,1,1573,"2,728,139","1,487,164,093"
Bruno Mars,Just the Way You Are,,27,1,1069,"2,737,304","1,483,489,414"
Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",154.0,1,55,480,"8,623,941","1,475,187,557"
KAROL G,Si Antes Te Hubiera Conocido,112.0,4,1,484,"6,441,001","1,452,204,400"
XXXTENTACION,Jocelyn Flores,9.0,2,3,1481,"7,900,110","1,447,811,195"
Justin Bieber,Ghost,8.0,10,1,939,"2,641,055","1,444,602,001"
Macklemore & Ryan Lewis,Can't Hold Us,,57,1,1141,"1,928,158","1,443,076,770"
Lil Nas X,MONTERO (Call Me By Your Name),157.0,1,40,513,"8,588,023","1,437,151,704"
Shaboozey,A Bar Song (Tipsy),77.0,5,1,525,"7,604,741","1,433,152,379"
Mitski,My Love Mine All Mine,115.0,2,4,560,"4,862,101","1,427,630,260"
Travis Scott,SICKO MODE,141.0,2,5,1037,"6,546,842","1,425,985,849"
Drake,God's Plan,146.0,1,74,717,"8,553,009","1,419,636,888"
Keane,Somewhere Only We Know,,63,1,1063,"1,815,360","1,415,925,030"
Gigi Perez,Sailor Song,76.0,5,1,449,"4,950,780","1,406,590,411"
Gracie Abrams,That’s So True,179.0,3,7,388,"7,335,731","1,397,364,798"
The Killers,Mr. Brightside,,59,1,1552,"2,013,473","1,395,145,405"
BTS,Dynamite,119.0,1,1,780,"7,778,950","1,392,283,880"
SAINt JHN,Roses - Imanbek Remix,159.0,2,2,680,"5,234,607","1,388,148,423"
J. Cole,No Role Modelz,,59,1,1600,"1,867,073","1,385,586,138"
24kGoldn,Mood,189.0,1,35,626,"6,367,748","1,377,292,794"
Maroon 5,Memories,99.0,2,5,889,"4,917,468","1,370,441,199"
French Montana,Unforgettable,116.0,3,8,906,"3,739,539","1,356,101,417"
Ed Sheeran,Bad Habits,146.0,3,26,550,"6,008,275","1,350,227,445"
Sam Smith,Unholy,156.0,1,49,397,"8,853,020","1,326,989,045"
Bad Bunny,DÁKITI,118.0,1,36,700,"10,086,143","1,323,144,052"
Lana Del Rey,Summertime Sadness,,74,1,1017,"1,646,634","1,316,779,915"
Doja Cat,Kiss Me More,139.0,2,1,551,"5,731,381","1,312,730,513"
Marshmello,Happier,144.0,2,9,823,"4,279,508","1,302,211,159"
Rema,Calm Down,22.0,8,1,572,"3,895,947","1,293,012,963"
Camila Cabello,Havana,173.0,1,9,793,"4,949,898","1,288,873,382"
Feid,LUNA,28.0,7,1,546,"4,185,532","1,285,138,184"
Conan Gray,Heather,,11,1,1058,"3,771,797","1,261,363,064"
Ed Sheeran,Thinking out Loud,156.0,1,14,1682,"1,950,373","1,260,984,274"
Bad Bunny,Tití Me Preguntó,168.0,4,1,436,"7,640,843","1,253,903,760"
Roddy Ricch,The Box,128.0,1,6,567,"7,427,860","1,246,311,986"
Alex Warren,Ordinary,223.0,1,52,276,"6,117,943","1,245,264,211"
Metro Boomin,Creepin',115.0,1,3,478,"5,702,794","1,241,697,519"
Ed Sheeran,Shivers,154.0,4,1,625,"5,450,839","1,236,107,580"
Post Malone,I Had Some Help (Feat. Morgan Wallen),48.0,1,1,484,"13,949,573","1,234,429,823"
Linkin Park,In the End,1.0,8,1,884,"3,356,242","1,233,985,797"
Calvin Harris,One Kiss,99.0,1,3,789,"4,533,018","1,231,072,509"
Kendrick Lamar,luther,136.0,2,20,353,"10,600,316","1,230,079,548"
d4vd,Romantic Homicide,,13,1,775,"2,752,552","1,226,644,326"
Ed Sheeran,I Don't Care,116.0,1,42,627,"10,977,389","1,226,341,816"
Sabrina Carpenter,Taste,90.0,2,3,402,"9,050,976","1,223,169,131"
Post Malone,Better Now,76.0,1,37,796,"6,090,230","1,218,871,302"
DaBaby,ROCKSTAR,144.0,1,57,505,"6,273,718","1,218,421,504"
The Weeknd,The Hills,80.0,3,8,1300,"2,210,786","1,211,007,226"
Justin Bieber,Peaches,100.0,1,18,533,"8,020,169","1,208,278,824"
Imagine Dragons,Thunder,20.0,7,1,1011,"3,218,477","1,201,439,377"
Travis Scott,FE!N,5.0,3,1,581,"8,998,039","1,199,063,667"
The Weeknd,Timeless,36.0,2,1,409,"10,043,439","1,197,487,734"
David Kushner,Daylight,77.0,4,1,497,"5,066,631","1,185,653,142"
Eminem,Mockingbird,,20,1,733,"2,672,455","1,180,829,408"
Lewis Capaldi,Before You Go,,17,1,862,"2,375,637","1,180,738,967"
Bad Bunny,Ojitos Lindos,111.0,2,5,488,"6,793,502","1,180,213,497"
Halsey,Without Me,124.0,3,10,840,"4,103,411","1,168,628,874"
Artemas,i like the way you kiss me,61.0,1,14,342,"9,844,169","1,164,543,446"
Noah Kahan,Stick Season,55.0,6,1,494,"4,589,005","1,161,515,847"
Kendrick Lamar,HUMBLE.,83.0,1,7,791,"6,561,530","1,161,514,687"
Bad Bunny,DtMF,126.0,1,16,309,"14,369,234","1,152,031,187"
Arctic Monkeys,Do I Wanna Know?,,69,1,1377,"1,442,073","1,150,668,737"
Dua Lipa,New Rules,161.0,2,24,711,"4,497,944","1,140,597,500"
John Legend,All of Me,,16,1,1901,"1,518,421","1,138,444,529"
Brenda Lee,Rockin' Around The Christmas Tree,117.0,2,1,371,"21,635,497","1,133,198,396"
Travis Scott,HIGHEST IN THE ROOM,48.0,1,7,764,"8,000,249","1,122,906,043"
Tears For Fears,Everybody Wants To Rule The World,,80,1,903,"1,700,790","1,122,332,775"
Tommy Richman,MILLION DOLLAR BABY,77.0,1,11,325,"12,657,599","1,116,956,004"
d4vd,Here With Me,,13,1,655,"3,232,096","1,115,241,736"
Doja Cat,Paint The Town Red,112.0,1,25,358,"9,146,029","1,113,982,099"
Doja Cat,Woman,49.0,5,1,534,"4,541,274","1,107,964,408"
DJ Snake,Let Me Love You,155.0,2,7,678,"4,901,972","1,101,150,766"
Måneskin,Beggin',104.0,1,25,466,"8,005,228","1,097,657,144"
Sabrina Carpenter,Nonsense,,12,1,723,"3,480,172","1,092,961,503"
Farruko,Pepas,104.0,3,4,486,"4,991,996","1,092,223,873"
Bad Bunny,Yonaguni,58.0,3,17,574,"7,191,161","1,091,187,590"
J Balvin,LA CANCIÓN,,16,1,882,"2,427,362","1,089,564,311"
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",53.0,2,6,502,"5,680,885","1,089,381,960"
Ariana Grande,"thank u, next",116.0,1,53,606,"9,606,415","1,086,433,407"
Olivia Rodrigo,traitor,25.0,7,1,628,"5,255,353","1,084,616,961"
Fleetwood Mac,Dreams - 2004 Remaster,,17,1,874,"2,441,194","1,084,178,309"
Maroon 5,Girls Like You,101.0,2,13,710,"4,382,819","1,081,119,035"
Eslabon Armado,Ella Baila Sola,117.0,1,51,320,"9,047,794","1,074,105,220"
Luis Fonsi,Despacito - Remix,140.0,1,101,447,"8,505,463","1,072,194,101"
KAROL G,QLONA,54.0,4,1,442,"4,538,107","1,069,000,056"
Radiohead,Creep,,24,1,710,"2,445,752","1,067,852,241"
Olivia Rodrigo,deja vu,61.0,3,7,624,"6,965,911","1,067,759,293"
Lil Uzi Vert,XO TOUR Llif3,7.0,9,1,839,"2,830,043","1,058,173,866"
Imagine Dragons,Bones,,27,1,688,"2,481,967","1,054,920,078"
Frank Ocean,Pink + White,,52,1,736,"2,097,465","1,054,396,305"
Imagine Dragons,Demons,,37,1,1335,"1,749,568","1,052,187,947"
sombr,back to friends,181.0,1,3,237,"6,259,851","1,051,322,183"
Billie Eilish,when the party's over,7.0,7,1,844,"3,605,221","1,045,538,949"
XXXTENTACION,Moonlight,10.0,2,3,940,"6,928,295","1,031,086,017"
Ariana Grande,Santa Tell Me,88.0,3,4,443,"15,074,202","1,019,999,466"
Taylor Swift,Blank Space,,14,1,789,"3,018,571","1,019,884,848"
Bobby Helms,Jingle Bell Rock,96.0,4,1,373,"18,917,096","1,014,229,773"
Bad Bunny,Efecto,102.0,6,1,414,"5,752,670","1,013,471,014"
Olivia Rodrigo,vampire,93.0,1,7,373,"9,794,245","1,013,372,243"
Justin Bieber,Love Yourself,154.0,1,25,806,"4,052,773","1,012,057,704"
Harry Styles,Adore You,6.0,3,1,763,"4,506,154","1,009,588,110"
Lauv,I Like Me Better,,24,1,1112,"1,906,874","1,000,581,852"
Steve Lacy,Dark Red,,58,1,855,"1,603,560","998,370,487"
Powfu,death bed,120.0,4,1,552,"4,310,576","996,603,124"
Arizona Zervas,ROXANNE,113.0,2,30,495,"5,525,015","995,796,741"
Hotel Ugly,Shut up My Moms Calling,,63,1,726,"1,893,587","995,758,190"
Post Malone,Congratulations,,20,1,914,"2,315,803","994,460,066"
Morgan Wallen,Last Night,1.0,10,1,548,"4,011,329","983,053,833"
Trevor Daniel,Falling,89.0,5,1,527,"4,412,756","982,655,543"
KAROL G,Tusa,92.0,3,16,501,"6,437,662","981,019,287"
Michael Bublé,It's Beginning to Look a Lot Like Christmas,74.0,3,1,418,"14,790,986","972,443,470"
Lil Nas X,Old Town Road - Remix,131.0,2,27,471,"5,546,821","972,399,663"
Jimin,Like Crazy,2.0,1,1,480,"6,013,972","967,510,834"
benny blanco,Eastside,75.0,3,8,667,"3,488,754","966,793,467"
Justin Bieber,Sorry,145.0,1,55,670,"5,324,014","962,261,649"
5 Seconds of Summer,Youngblood,6.0,6,1,821,"3,369,480","959,545,880"
HUNTR/X,Golden,132.0,1,78,141,"8,554,706","955,604,849"
Post Malone,Wow.,98.0,1,1,577,"4,715,948","942,911,527"
JVKE,golden hour,,11,1,503,"3,100,355","940,331,723"
Bad Bunny,BAILE INoLVIDABLE,72.0,3,1,309,"8,776,907","939,115,009"
Ava Max,Sweet but Psycho,49.0,5,1,686,"3,733,923","937,596,320"
Eminem,Lose Yourself,,27,1,1618,"1,935,396","935,591,976"
The Chainsmokers,Don't Let Me Down,151.0,3,13,656,"3,238,214","930,379,946"
Don Omar,Danza Kuduro,,64,1,681,"1,968,077","926,464,842"
Twenty One Pilots,Stressed Out,83.0,5,1,910,"2,698,436","916,628,633"
Ariana Grande,positions,93.0,1,11,550,"7,829,519","916,255,755"
Miguel,Sure Thing,,14,1,609,"3,286,146","914,744,938"
Eminem,The Real Slim Shady,,36,1,866,"1,966,501","910,398,351"
Cardi B,I Like It,108.0,2,3,526,"4,170,983","909,100,262"
Joji,Glimpse of Us,71.0,1,10,372,"8,707,455","906,270,837"
Grupo Frontera,un x100to,84.0,1,20,322,"10,134,420","906,155,872"
Lola Young,Messy,18.0,8,1,342,"5,133,611","904,779,056"
Major Lazer,Lean On,215.0,1,73,812,"3,022,720","903,501,246"
Rauw Alejandro,Todo De Ti,71.0,2,29,431,"7,399,812","902,083,204"
Tyla,Water,3.0,8,1,445,"3,903,939","897,931,179"
Post Malone,Psycho,95.0,1,3,557,"6,546,243","897,922,392"
DJ Snake,Taki Taki,121.0,1,32,441,"6,255,332","894,324,275"
Zach Bryan,I Remember Everything,,13,1,463,"3,131,093","892,293,258"
Arctic Monkeys,Why'd You Only Call Me When You're High?,,85,1,828,"1,605,573","891,412,794"
Yng Lvcas,La Bebe - Remix,113.0,2,3,312,"6,495,208","886,845,966"
Chris Brown,Under The Influence,51.0,6,1,421,"4,029,771","886,080,983"
Linkin Park,Numb,,12,1,605,"3,129,200","885,621,946"
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,156.0,2,24,698,"3,515,689","885,579,145"
Coldplay,My Universe,44.0,3,4,508,"6,768,788","878,060,454"
Rihanna,We Found Love,,18,1,742,"2,720,075","875,707,013"
Billie Eilish,CHIHIRO,14.0,3,1,416,"10,051,791","875,578,829"
Internet Money,Lemonade,92.0,2,12,459,"4,676,627","875,296,416"
Bad Bunny,PERRO NEGRO,43.0,3,1,377,"7,787,911","874,554,918"
Dean Lewis,Be Alright,,12,1,824,"2,571,940","868,812,578"
Cardi B,WAP,103.0,1,37,386,"7,175,768","865,593,647"
Ed Sheeran,Beautiful People,111.0,3,21,500,"6,042,828","864,985,505"
Taylor Swift,cardigan,14.0,1,4,556,"7,742,178","864,648,143"
Zach Bryan,Something in the Orange,,53,1,657,"1,617,183","860,700,275"
Chappell Roan,Pink Pony Club,,18,1,450,"4,125,297","853,213,012"
KAROL G,TQG,86.0,1,6,307,"9,024,770","852,694,525"
Avicii,Wake Me Up,2.0,4,1,1154,"4,470,595","849,742,593"
Andy Williams,It's the Most Wonderful Time of the Year,41.0,5,1,374,"13,789,130","847,368,061"
Myke Towers,LALA,93.0,1,6,282,"6,561,472","844,606,688"
KAROL G,PROVENZA,33.0,4,1,421,"4,074,136","842,909,731"
Drake,In My Feelings,99.0,1,57,364,"9,847,333","842,567,102"
Charlie Puth,Attention,95.0,5,1,532,"3,327,835","840,495,448"
Regard,Ride It,,12,1,679,"2,795,908","834,423,749"
The Weeknd,Popular,1.0,10,1,397,"4,056,748","828,126,328"
Billie Eilish,Happier Than Ever,31.0,6,1,482,"5,185,866","827,082,250"
Taylor Swift,august,2.0,4,1,550,"5,133,322","824,789,591"
Myles Smith,Stargazing,,14,1,400,"4,450,434","824,426,959"
Billie Eilish,everything i wanted,35.0,1,1,530,"6,706,379","822,587,129"
Doja Cat,Need To Know,23.0,6,1,422,"4,538,806","820,296,282"
Panic! At The Disco,High Hopes,9.0,8,1,706,"2,913,355","819,003,001"
Natasha Bedingfield,Unwritten,,14,1,471,"3,475,439","813,609,296"
Lil Mosey,Blueberry Faygo,41.0,8,1,473,"3,722,129","807,671,989"
Lost Frequencies,Where Are You Now,,17,1,521,"2,581,666","806,820,022"
Taylor Swift,Lover,9.0,2,2,518,"5,550,879","806,188,610"
TV Girl,Lovers Rock,,92,1,612,"1,604,623","804,197,212"
The Weeknd,Stargirl Interlude,,39,1,666,"1,685,404","803,215,601"
Bruno Mars,Leave The Door Open,76.0,4,1,435,"3,931,158","802,639,623"
Major Lazer,Cold Water,124.0,1,30,415,"5,821,243","802,152,562"
Tate McRae,you broke me first,,12,1,578,"2,846,451","800,958,148"
Dua Lipa,Dance The Night (From Barbie The Album),51.0,4,1,332,"5,162,419","795,316,102"
Stephen Sanchez,Until I Found You,8.0,6,1,439,"3,717,786","794,509,946"
V,Love Me Again,3.0,10,1,486,"3,773,666","793,978,896"
Feid,Classy 101,21.0,6,1,373,"4,381,012","793,499,049"
Maluma,Hawái,86.0,2,13,421,"6,400,816","793,442,452"
a-ha,Take on Me,,36,1,592,"2,428,140","791,506,162"
Gunna,fukumean,40.0,6,1,368,"3,947,656","790,785,629"
Luis Fonsi,Despacito (Featuring Daddy Yankee),105.0,3,4,437,"4,125,267","789,414,310"
W Sound,La Plena - W Sound 05,94.0,4,1,257,"4,187,761","782,381,627"
Bad Bunny,Moscow Mule,83.0,1,1,314,"11,746,115","782,378,105"
Drake,Jimmy Cooks,7.0,4,1,533,"6,639,768","781,719,845"
Coldplay,A Sky Full of Stars,1.0,10,1,1047,"1,991,371","781,295,475"
Masked Wolf,Astronaut In The Ocean,91.0,2,5,387,"4,628,495","780,496,141"
Imagine Dragons,Enemy,91.0,3,31,429,"4,045,965","777,625,894"
Steve Lacy,Bad Habit,29.0,8,1,352,"3,404,739","776,530,316"
GAYLE,abcdefu,136.0,1,28,305,"5,475,075","776,489,541"
Joel Corry,Head & Heart,1.0,10,1,481,"3,192,515","775,664,589"
Taylor Swift,Don’t Blame Me,,68,1,597,"1,686,630","774,460,715"
Jung Kook,Standing Next to You,25.0,1,3,373,"6,472,019","773,538,917"
BTS,Butter,43.0,2,8,428,"11,042,335","773,357,950"
Sam Smith,Too Good At Goodbyes,45.0,3,14,748,"4,134,961","769,575,302"
Sia,Cheap Thrills,131.0,3,11,581,"3,612,966","769,075,819"
Jawsh 685,Savage Love (Laxed - Sired Beat),103.0,1,10,381,"5,222,103","769,072,293"
Bad Bunny,Callaita,61.0,5,1,497,"4,194,487","768,647,082"
KAROL G,AMARGURA,,50,1,517,"1,999,201","767,766,548"
Adele,Set Fire to the Rain,,46,1,616,"1,719,764","767,333,163"
Ozuna,Hey Mor,,11,1,356,"3,245,523","765,218,719"
Dua Lipa,IDGAF,79.0,3,1,553,"3,463,420","764,027,263"
Tiësto,The Business,19.0,8,1,499,"2,975,887","761,936,265"
Bad Bunny,NUEVAYoL,29.0,5,1,309,"8,031,545","760,883,786"
Kate Bush,Running Up That Hill (A Deal With God),92.0,1,17,240,"8,559,687","756,894,641"
Lil Tecca,Ransom,65.0,3,14,502,"3,925,157","756,056,987"
Justin Bieber,What Do You Mean?,170.0,1,53,532,"4,480,610","755,059,282"
Taylor Swift,Fortnight,28.0,1,10,235,"25,204,472","754,553,837"
Coldplay,The Scientist,,63,1,849,"1,918,224","752,319,241"
Post Malone,I Fall Apart,6.0,10,1,627,"2,648,763","751,801,044"
The Weeknd,Call Out My Name,25.0,1,4,574,"6,473,226","750,481,622"
Jonas Brothers,Sucker,72.0,2,11,494,"5,168,503","750,194,203"
Daddy Yankee,Con Calma,107.0,1,2,378,"4,840,712","747,154,168"
SZA,Saturn,,12,1,371,"3,908,695","744,842,025"
Shawn Mendes,There's Nothing Holdin' Me Back,34.0,5,1,583,"3,282,626","744,809,946"
Coolio,Gangsta's Paradise,,11,1,705,"3,234,609","744,773,040"
Eminem,Godzilla,22.0,3,2,587,"5,932,521","740,089,787"
Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",74.0,1,3,213,"14,393,342","739,876,069"
Zedd,The Middle,55.0,6,1,580,"3,232,350","737,695,785"
Topic,Breaking Me,42.0,6,1,490,"3,168,249","737,440,575"
Danny Ocean,Me Rehúso,,18,1,569,"2,075,957","736,417,070"
blackbear,hot girl bummer,17.0,9,1,578,"3,190,797","734,801,592"
Future,Life Is Good,35.0,3,4,492,"5,812,401","730,884,163"
Charlie Puth,We Don't Talk Anymore,8.0,9,1,769,"2,699,700","730,123,525"
Shawn Mendes,Treat You Better,82.0,4,1,601,"3,039,522","729,653,010"
ROSALÍA,DESPECHÁ,53.0,5,1,311,"4,819,385","728,112,787"
Rosa Linn,SNAP,,15,1,400,"2,871,217","726,561,118"
Calvin Harris,This Is What You Came For,125.0,2,76,464,"4,121,279","726,247,480"
Gracie Abrams,"I Love You, I'm Sorry",,15,1,377,"3,223,003","720,508,584"
Lil Nas X,THATS WHAT I WANT,18.0,3,5,382,"5,208,116","712,683,820"
DJ Khaled,I'm the One,111.0,2,56,354,"6,004,412","710,871,645"
Benson Boone,Slow It Down,,26,1,370,"3,082,662","705,132,732"
Marshmello,FRIENDS,90.0,3,2,468,"3,794,741","705,121,626"
J Balvin,Mi Gente,102.0,1,29,398,"4,967,261","700,647,325"
Anuel AA,China,79.0,2,33,373,"5,025,519","700,299,345"
Calle 24,Que Onda,,13,1,330,"3,275,918","697,995,153"
Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",97.0,3,40,534,"3,828,848","696,761,933"
Alan Walker,Faded,108.0,6,1,645,"2,617,975","695,662,686"
Journey,Don't Stop Believin' (2022 Remaster),,61,1,484,"1,974,814","695,635,191"
Stephen Sanchez,Until I Found You,,19,1,409,"2,563,874","695,173,569"
Dasha,Austin,,17,1,302,"3,376,339","691,923,182"
Fifth Harmony,Work from Home,140.0,2,14,518,"3,464,320","691,600,792"
Sam Smith,Dancing With A Stranger,63.0,6,1,528,"3,446,291","689,734,075"
Bad Bunny,MIA,100.0,1,1,362,"6,592,787","687,139,530"
Tyga,Taste,27.0,5,1,472,"3,743,170","686,007,252"
Justin Bieber,Intentions,59.0,4,1,378,"5,863,115","684,618,862"
Lukas Graham,7 Years,97.0,2,14,602,"3,227,270","682,797,214"
The Kid LAROI,NIGHTS LIKE THIS,,34,1,408,"2,477,910","680,661,837"
Bad Bunny,EoO,7.0,9,1,309,"5,418,939","680,370,015"
Rauw Alejandro,Qué Pasaría...,,13,1,330,"4,298,237","679,063,843"
Bebe Rexha,Meant to Be,,16,1,604,"2,202,025","678,676,587"
Pedro Capó,Calma - Remix,60.0,5,1,423,"3,597,909","677,924,614"
Dua Lipa,Break My Heart,19.0,6,1,454,"4,276,985","677,077,932"
Ariana Grande,no tears left to cry,60.0,2,5,430,"5,457,046","676,765,440"
Drake,Toosie Slide,97.0,1,4,325,"6,574,812","676,648,172"
The Marías,No One Noticed,,32,1,366,"2,451,627","674,356,005"
Kenya Grace,Strangers,42.0,3,1,232,"5,042,688","674,352,203"
FIFTY FIFTY,Cupid - Twin Ver.,80.0,3,2,260,"5,408,180","674,345,340"
Jack Harlow,Lovin On Me,74.0,2,8,223,"5,284,347","672,278,136"
Clean Bandit,Rockabye,98.0,3,16,460,"3,988,539","671,697,572"
Pop Smoke,For The Night,36.0,6,1,411,"3,541,237","671,301,822"
